gora_id,ime,cas,zahtevnost
82,Brancljeva senožet - Mišnice,20,lahka neoznačena steza
82,Zamlake - Mišnice,20,lahka neoznačena steza
83,Lovska koča Budanje - Kovk,90,lahka označena pot
83,Col - Kovk,60,lahka označena pot
83,Jamce - Kovk,130,lahka neoznačena steza
84,Predmeja (Gorjanka) - Bloudkova skakalnica (Predmeja),35,lahka označena pot
84,Koča Edmunda Čibeja v Tihi dolini - Bloudkova skakalnica (Predmeja),10,lahka neoznačena steza
85,Col - Križna gora nad Colom,55,lahka neoznačena steza
85,Col - Križna gora nad Colom (čez Špiček),70,lahka neoznačena steza
86,Selšček - Velika Špička,45,lahka označena pot
86,Begunje - Velika Špička (čez Cemarovnik),60,lahka označena pot
86,Begunje - Velika Špička,60,lahka označena pot
86,Stražišče - Velika Špička,30,lahka neoznačena steza
87,Velika vrata - Mala Plešivica,35,lahka označena pot
87,Zagrad - Mala Plešivica,90,lahka označena pot
88,Predmeja (Gorjanka) - Koča Edmunda Čibeja v Tihi dolini,25,lahka označena pot
89,Planinski dom pod Ježo - Ježa,30,lahka označena pot
89,Solarji - Ježa,45,lahka označena pot
90,Kamenščina - Milanka,75,lahka neoznačena steza
91,Stražišče - Leskovica (nad Stražiščem),20,lahka neoznačena steza
91,Kožljek - Leskovica (nad Stražiščem),30,lahka neoznačena steza
92,Borovec pri Kočevski Reki - Krempa,50,lahka označena pot
93,Solarji - Deveti konfin (kota 942) (čez Ježo),70,lahka označena pot
93,Planinski dom pod Ježo - Deveti konfin (kota 942),45,lahka označena pot
94,Zabočevo - Krimšček,100,lahko brezpotje
95,Lohača - Petričev hrib,45,lahka neoznačena steza
95,Planina - Petričev hrib,90,lahka neoznačena steza
95,Planina (Dolnja Planina) - Petričev hrib (preko Zavrtnikov),95,lahka neoznačena steza
95,Planina (Dolnja Planina) - Petričev hrib (mimo Sv. Duha),95,lahka neoznačena steza
96,Planinski dom pod Ježo - Deveti konfin (kota 930),55,lahka označena pot
96,Solarji - Deveti konfin (kota 930) (čez Ježo),80,lahka označena pot
97,Vitovlje (Križišče) - Kopitnik (na Čavnu) (preko Sekulaka),150,lahka označena pot
97,Vitovlje (Križišče) - Kopitnik (na Čavnu) (mimo lovske koče LD Lijak),85,lahka označena pot
97,Šmihel - Kopitnik (na Čavnu) (mimo Skoznega),180,lahka neoznačena steza
97,Ozeljan - Kopitnik (na Čavnu) (mimo Vitovskega hriba in lovske koče),165,"lahka neoznačena steza, lahka označena pot"
98,Jablanica - Srednji vrh pri Kozleku,85,lahka označena pot
